order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_status,payment_method,region,discount_applied,revenue,month
O966977,C00397,P0022,3.0,39.25,2025-07-06,delivered,Paypal,Central,0.0,117.75,2025-07
O696648,C00236,P0023,5.0,18.92,2025-07-06,delayed,Credit Card,North,0.0,94.60000000000001,2025-07
O202644,C00492,P0011,1.0,29.68,2025-07-06,delivered,Bank Transfer,North,0.15,25.227999999999998,2025-07
O501803,C00031,P0003,1.0,32.76,2025-07-06,cancelled,Credit Card,Central,0.2,26.208,2025-07
O322242,C00495,P0016,1.0,47.62,2025-07-06,delayed,Credit Card,West,0.2,38.096,2025-07
O190175,C00388,P0005,3.0,37.89,2025-07-06,delayed,Bank Transfer,North,0.1,102.303,2025-07
O272646,C00328,P0027,5.0,30.83,2025-07-06,delivered,Paypal,Central,0.05,146.44249999999997,2025-07
O411881,C00201,P0019,3.0,12.56,2025-07-06,delivered,Credit Card,East,0.0,37.68,2025-07
O170570,C00076,P0030,3.0,28.32,2025-07-06,delivered,Paypal,Central,0.15,72.21600000000001,2025-07
O619944,C00330,P0002,1.0,30.96,2025-07-06,delayed,Credit Card,South,0.15,26.316,2025-07
O490023,C00285,P0022,2.0,9.98,2025-07-06,delivered,Credit Card,Central,0.0,19.96,2025-07
O865247,C00249,P0022,5.0,30.92,2025-07-06,delayed,Credit Card,East,0.1,139.14000000000001,2025-07
O315552,C00110,P0007,4.0,28.74,2025-07-06,delivered,Bank Transfer,North,0.1,103.464,2025-07
O135982,C00441,P0003,2.0,38.11,2025-07-06,delivered,Paypal,North,0.0,76.22,2025-07
O870079,C00274,P0013,1.0,49.71,2025-07-06,delayed,Credit Card,East,0.0,49.71,2025-07
O305482,C00404,P0003,4.0,9.79,2025-07-06,cancelled,Bank Transfer,North,0.15,33.285999999999994,2025-07
O359666,C00397,P0007,4.0,12.07,2025-07-06,delayed,Bank Transfer,West,0.0,48.28,2025-07
O324940,C00262,P0002,1.0,20.42,2025-07-06,delayed,Credit Card,North,0.05,19.399,2025-07
O364358,C00319,P0027,4.0,17.4,2025-07-06,delayed,Paypal,East,0.0,69.6,2025-07
O358447,C00059,P0004,3.0,39.89,2025-07-06,delayed,Bank Transfer,West,0.0,119.67,2025-07
O216425,C00211,P0019,1.0,32.05,2025-07-06,delayed,Bank Transfer,South,0.15,27.242499999999996,2025-07
O121091,C00276,P0022,4.0,12.88,2025-07-06,cancelled,Credit Card,Central,0.2,41.21600000000001,2025-07
O930213,C00369,P0010,4.0,10.43,2025-07-06,cancelled,Paypal,South,0.0,41.72,2025-07
O342894,C00171,P0030,1.0,31.96,2025-07-06,delivered,Bank Transfer,South,0.0,31.96,2025-07
O471486,C00423,P0007,2.0,39.93,2025-07-06,cancelled,Paypal,Central,0.0,79.86,2025-07
O728183,C00040,P0021,5.0,39.59,2025-07-06,delivered,Credit Card,Central,0.15,168.25750000000002,2025-07
O860527,C00334,P0025,5.0,46.67,2025-07-06,delayed,Paypal,South,0.0,233.35000000000002,2025-07
O658934,C00463,P0025,4.0,19.29,2025-07-06,delayed,Credit Card,West,0.1,69.444,2025-07
O702676,C00374,P0019,1.0,36.28,2025-07-06,delivered,Bank Transfer,West,0.0,36.28,2025-07
O145341,C00470,P0024,1.0,29.47,2025-07-06,cancelled,Paypal,East,0.1,26.523,2025-07
O291982,C00329,P0019,5.0,41.7,2025-07-06,delivered,Paypal,East,0.05,198.075,2025-07
O577920,C00480,P0015,4.0,28.58,2025-07-06,delayed,Paypal,East,0.0,114.32,2025-07
O960238,C00259,P0009,2.0,9.58,2025-07-06,delayed,Credit Card,East,0.2,15.328000000000001,2025-07
O966135,C00464,P0028,1.0,26.29,2025-07-06,cancelled,Paypal,West,0.0,26.29,2025-07
O453905,C00398,P0017,2.0,32.1,2025-07-06,delivered,Paypal,South,0.1,57.78,2025-07
O357468,C00070,P0025,2.0,12.47,2025-07-06,delivered,Credit Card,East,0.15,21.199,2025-07
O671288,C00197,P0014,4.0,15.06,2025-07-06,delayed,Credit Card,North,0.0,60.24,2025-07
O566495,C00500,P0013,1.0,41.14,2025-07-06,delivered,Paypal,Central,0.0,41.14,2025-07
O508604,C00331,P0022,1.0,14.6,2025-07-06,cancelled,Bank Transfer,Central,0.2,11.68,2025-07
O455877,C00414,P0029,3.0,37.44,2025-07-06,cancelled,Bank Transfer,East,0.0,112.32,2025-07
O175998,C00170,P0016,1.0,47.46,2025-07-06,delayed,Bank Transfer,North,0.05,45.086999999999996,2025-07
O393004,C00284,P0011,4.0,49.08,2025-07-06,delivered,Paypal,East,0.15,166.87199999999999,2025-07
O198320,C00392,P0001,3.0,18.38,2025-07-06,delivered,Credit Card,West,0.15,46.869,2025-07
O223293,C00070,P0007,5.0,9.06,2025-07-06,delivered,Bank Transfer,West,0.2,36.24,2025-07
O698994,C00301,P0024,3.0,45.59,2025-07-06,delayed,Paypal,East,0.05,129.9315,2025-07
O532137,C00043,P0029,1.0,28.46,2025-07-06,delayed,Credit Card,West,0.2,22.768,2025-07
O577109,C00416,P0005,4.0,49.91,2025-07-06,delivered,Credit Card,East,0.05,189.658,2025-07
O641343,C00274,P0017,5.0,29.41,2025-07-06,delivered,Credit Card,South,0.05,139.6975,2025-07
O333120,C00006,P0027,1.0,45.44,2025-07-06,delayed,Credit Card,Central,0.1,40.896,2025-07
O813745,C00399,P0010,5.0,22.25,2025-07-06,delivered,Bank Transfer,Central,0.0,111.25,2025-07
O544747,C00381,P0029,5.0,24.19,2025-07-06,delivered,Credit Card,East,0.05,114.9025,2025-07
O468789,C00366,P0015,5.0,33.07,2025-07-06,delayed,Paypal,North,0.2,132.28,2025-07
O627148,C00180,P0022,4.0,17.33,2025-07-06,delayed,Bank Transfer,South,0.0,69.32,2025-07
O935520,C00434,P0004,3.0,30.3,2025-07-06,delayed,Paypal,South,0.0,90.9,2025-07
O544861,C00495,P0011,2.0,40.78,2025-07-06,delayed,Credit Card,North,0.1,73.40400000000001,2025-07
O459284,C00365,P0021,2.0,35.38,2025-07-06,delayed,Paypal,North,0.1,63.684000000000005,2025-07
O180874,C00066,P0029,4.0,43.89,2025-07-06,cancelled,Bank Transfer,Central,0.2,140.448,2025-07
O241823,C00224,P0016,5.0,21.08,2025-07-06,delayed,Paypal,East,0.05,100.12999999999998,2025-07
O756742,C00077,P0013,5.0,13.7,2025-07-06,delayed,Paypal,East,0.0,68.5,2025-07
O210583,C00384,P0026,4.0,38.54,2025-07-06,delivered,Credit Card,West,0.0,154.16,2025-07
O778545,C00195,P0001,2.0,27.55,2025-07-06,cancelled,Credit Card,West,0.0,55.1,2025-07
O250174,C00181,P0011,2.0,24.53,2025-07-06,delayed,Bank Transfer,South,0.1,44.154,2025-07
O779423,C00152,P0022,3.0,35.67,2025-07-06,delivered,Paypal,West,0.0,107.01,2025-07
O158221,C00443,P0017,5.0,21.31,2025-07-06,cancelled,Credit Card,South,0.0,106.55,2025-07
O415017,C00263,P0002,1.0,31.39,2025-07-06,cancelled,Credit Card,Central,0.0,31.39,2025-07
O411654,C00357,P0005,5.0,38.0,2025-07-06,delivered,Credit Card,West,0.0,190.0,2025-07
O545752,C00020,P0022,2.0,19.1,2025-07-06,delivered,Credit Card,East,0.0,38.2,2025-07
O970556,C00465,P0011,3.0,29.38,2025-07-06,cancelled,Bank Transfer,North,0.05,83.73299999999999,2025-07
O493424,C00356,P0003,1.0,32.26,2025-07-06,delivered,Bank Transfer,South,0.05,30.646999999999995,2025-07
O209171,C00415,P0030,5.0,38.84,2025-07-06,cancelled,Bank Transfer,North,0.2,155.36,2025-07
O422815,C00272,P0017,1.0,44.92,2025-07-06,delivered,Credit Card,North,0.2,35.936,2025-07
O112343,C00420,P0029,2.0,45.57,2025-07-06,delayed,Credit Card,Central,0.0,91.14,2025-07
O129237,C00342,P0022,4.0,15.33,2025-07-06,delayed,Paypal,East,0.0,61.32,2025-07
O418152,C00110,P0030,2.0,48.25,2025-07-06,cancelled,Credit Card,West,0.1,86.85000000000001,2025-07
O359098,C00352,P0014,4.0,11.54,2025-07-06,delivered,Credit Card,South,0.05,43.852,2025-07
O772183,C00045,P0026,2.0,30.96,2025-07-06,delayed,Paypal,West,0.15,52.632,2025-07
O399621,C00147,P0016,3.0,31.26,2025-07-06,cancelled,Bank Transfer,Central,0.1,84.402,2025-07
O362898,C00452,P0025,1.0,37.16,2025-07-06,delivered,Credit Card,East,0.0,37.16,2025-07
O657302,C00338,P0016,1.0,28.45,2025-07-06,delayed,Bank Transfer,North,0.0,28.45,2025-07
O691691,C00033,P0030,1.0,30.05,2025-07-06,cancelled,Credit Card,Central,0.05,28.5475,2025-07
